full_ID,set,manipulation,face_n,artificial,race_guess,race_ba,race_ea,race_hl,race_me,race_na,race_pi,race_se,race_sa,race_wc,prot_ba_n,prot_ba_m,prot_ba_sd,prot_ba_mdn,prot_ba_min,prot_ba_max,prot_ea_n,prot_ea_m,prot_ea_sd,prot_ea_mdn,prot_ea_min,prot_ea_max,prot_hl_n,prot_hl_m,prot_hl_sd,prot_hl_mdn,prot_hl_min,prot_hl_max,prot_me_n,prot_me_m,prot_me_sd,prot_me_mdn,prot_me_min,prot_me_max,prot_na_n,prot_na_m,prot_na_sd,prot_na_mdn,prot_na_min,prot_na_max,prot_pi_n,prot_pi_m,prot_pi_sd,prot_pi_mdn,prot_pi_min,prot_pi_max,prot_se_n,prot_se_m,prot_se_sd, prot_se_mdn ,prot_se_min,prot_se_max,prot_sa_n,prot_sa_m,prot_sa_sd,prot_sa_mdn,prot_sa_min,prot_sa_max,prot_wc_n,prot_wc_m,prot_wc_sd,prot_wc_mdn,prot_wc_min,prot_wc_max,age_m,age_sd,age_mdn,age_n,age_min,age_max,gender_fem,attract_m,attract_sd,attract_mdn,attract_n,attract_min,attract_max,happy_m,happy_sd,happy_mdn,happy_n,happy_min,happy_max,gender
785-1407,785,1407,52,0.143,Black,0.942,0.0,0.038,0.058,0.0,0.038,0.0,0.077,0.038,49.0,77.388,17.87,80.0,32.0,100.0,,,,,,,2.0,41.5,30.406,41.5,20.0,63.0,3.0,38.333,2.082,39.0,36.0,40.0,,,,,,,2.0,59.5,0.707,59.5,59.0,60.0,,,, NA ,,,4.0,51.5,13.229,46.5,42.0,71.0,2.0,17.5,14.849,17.5,7.0,28.0,32.346,4.878,32.5,52,24,45,0.0,4.808,1.155,5.0,52.0,2,7,6.038,0.839,6.0,52,4,7,Men
1407-3876,1407,3876,51,0.2,Black,0.706,0.02,0.098,0.118,0.0,0.176,0.0,0.098,0.059,36.0,81.583,13.791,81.0,50.0,100.0,1.0,46.0,,46.0,46.0,46.0,5.0,41.2,22.654,42.0,20.0,74.0,6.0,50.5,30.54,60.0,7.0,85.0,,,,,,,9.0,58.222,16.154,60.0,31.0,85.0,,,, NA ,,,5.0,55.0,19.532,60.0,21.0,71.0,3.0,27.0,23.065,25.0,5.0,51.0,35.686,4.347,35.0,51,29,46,0.02,4.706,1.446,5.0,51.0,1,7,3.373,1.248,3.0,51,1,7,Men
1506-75,1506,75,56,0.235,Black,0.893,0.0,0.107,0.018,0.0,0.036,0.0,0.143,0.018,50.0,82.66,18.086,90.0,30.0,100.0,,,,,,,6.0,48.0,30.751,49.0,10.0,92.0,1.0,100.0,,100.0,100.0,100.0,,,,,,,2.0,57.5,24.749,57.5,40.0,75.0,,,, NA ,,,8.0,39.25,18.752,30.0,19.0,75.0,1.0,15.0,,15.0,15.0,15.0,21.4,4.661,20.0,55,14,32,0.0,4.727,1.283,5.0,55.0,1,7,6.073,0.716,6.0,55,4,7,Men
2079-10510,2079,10510,51,0.063,Black,0.647,0.078,0.059,0.098,0.039,0.275,0.098,0.137,0.059,33.0,65.697,20.965,70.0,20.0,100.0,4.0,31.5,28.408,22.5,9.0,72.0,3.0,33.0,14.107,35.0,18.0,46.0,5.0,53.4,18.649,50.0,30.0,82.0,2.0,37.5,17.678,37.5,25.0,50.0,14.0,61.571,17.965,56.0,40.0,93.0,5.0,47.8,18.075, 51.0 ,21.0,67.0,7.0,57.286,19.163,65.0,29.0,75.0,3.0,23.667,25.697,20.0,0.0,51.0,39.765,5.248,40.0,51,27,49,0.0,4.137,1.327,4.0,51.0,1,7,4.314,1.01,4.0,51,2,6,Men
2308-151,2308,151,54,0.438,Black,0.574,0.074,0.13,0.056,0.093,0.37,0.13,0.037,0.13,31.0,57.516,21.796,51.0,5.0,100.0,4.0,45.25,10.178,50.0,30.0,51.0,7.0,66.143,21.067,60.0,41.0,100.0,3.0,58.0,24.021,50.0,39.0,85.0,5.0,69.8,12.775,71.0,52.0,86.0,20.0,53.0,21.767,52.5,20.0,100.0,7.0,52.143,16.067, 50.0 ,36.0,78.0,2.0,68.5,12.021,68.5,60.0,77.0,7.0,36.714,13.877,40.0,16.0,51.0,35.963,6.022,35.0,54,25,50,0.019,4.241,1.4,4.0,54.0,1,7,3.333,1.099,3.0,54,1,7,Men
2491-1407,2491,1407,55,0.063,Black,0.727,0.0,0.091,0.164,0.036,0.055,0.055,0.145,0.073,40.0,66.175,23.709,70.5,10.0,100.0,,,,,,,5.0,56.2,25.985,60.0,18.0,90.0,9.0,67.889,23.481,70.0,29.0,100.0,2.0,30.5,27.577,30.5,11.0,50.0,3.0,59.0,32.97,76.0,21.0,80.0,3.0,60.667,30.436, 73.0 ,26.0,83.0,8.0,72.625,23.928,82.5,30.0,100.0,4.0,32.0,12.356,27.5,23.0,50.0,34.636,7.137,35.0,55,20,55,0.0,4.491,1.23,4.0,55.0,1,7,5.2,0.931,5.0,55,3,7,Men
2741-1407,2741,1407,54,0.313,Black,0.593,0.0,0.056,0.315,0.0,0.019,0.019,0.241,0.13,32.0,62.719,23.794,60.5,20.0,100.0,,,,,,,3.0,41.667,9.504,42.0,32.0,51.0,17.0,68.647,24.176,76.0,10.0,96.0,,,,,,,1.0,87.0,,87.0,87.0,87.0,1.0,93.0,, 93.0 ,93.0,93.0,13.0,53.923,26.781,62.0,9.0,95.0,7.0,41.571,19.139,50.0,9.0,67.0,30.352,6.319,30.0,54,18,42,0.037,4.685,1.371,5.0,54.0,1,7,4.574,1.021,5.0,54,2,7,Men
4130-533,4130,533,50,0.077,Black,0.64,0.0,0.12,0.2,0.0,0.06,0.0,0.4,0.02,32.0,68.875,20.666,76.5,20.0,97.0,,,,,,,6.0,39.833,23.404,38.0,15.0,78.0,10.0,69.3,14.476,67.0,50.0,98.0,,,,,,,3.0,41.333,25.106,44.0,15.0,65.0,,,, NA ,,,20.0,74.15,22.862,81.0,20.0,100.0,1.0,40.0,,40.0,40.0,40.0,32.92,6.151,33.0,50,24,55,0.0,4.96,1.37,5.0,50.0,1,7,4.42,1.071,4.0,50,1,7,Men
6600-28,6600,28,55,0.235,Black,0.636,0.018,0.182,0.091,0.018,0.2,0.018,0.073,0.145,35.0,66.057,17.819,65.0,40.0,100.0,1.0,23.0,,23.0,23.0,23.0,10.0,53.8,15.583,55.0,30.0,77.0,5.0,57.0,33.076,51.0,18.0,100.0,1.0,27.0,,27.0,27.0,27.0,11.0,60.455,26.071,60.0,14.0,95.0,1.0,51.0,, 51.0 ,51.0,51.0,4.0,73.25,17.173,75.0,51.0,92.0,8.0,37.625,10.056,39.0,20.0,50.0,24.909,5.933,24.0,55,13,45,0.073,4.745,1.174,5.0,55.0,1,7,5.073,0.997,5.0,55,3,7,Men
7352-533,7352,533,52,0.063,Black,0.558,0.0,0.154,0.192,0.019,0.115,0.038,0.269,0.0,29.0,65.828,20.038,70.0,31.0,100.0,,,,,,,8.0,61.25,26.879,70.0,15.0,90.0,10.0,64.9,22.762,61.0,23.0,95.0,1.0,8.0,,8.0,8.0,8.0,6.0,44.5,20.256,45.5,15.0,77.0,2.0,42.5,10.607, 42.5 ,35.0,50.0,14.0,67.214,13.48,67.5,45.0,95.0,,,,,,,37.038,6.925,35.0,52,24,55,0.0,4.019,1.213,4.0,52.0,1,6,4.365,1.01,5.0,52,2,6,Men
9310-785,9310,785,54,0.133,Black,0.944,0.0,0.019,0.019,0.0,0.037,0.019,0.037,0.0,51.0,88.725,13.155,92.0,50.0,100.0,,,,,,,1.0,5.0,,5.0,5.0,5.0,1.0,13.0,,13.0,13.0,13.0,,,,,,,2.0,75.0,21.213,75.0,60.0,90.0,1.0,23.0,, 23.0 ,23.0,23.0,2.0,53.0,41.012,53.0,24.0,82.0,,,,,,,38.352,5.492,39.0,54,25,50,0.0,4.241,1.331,4.0,54.0,1,7,4.833,1.005,5.0,54,3,7,Men
12755-533,12755,533,57,0.118,Black,0.842,0.0,0.07,0.211,0.0,0.018,0.018,0.281,0.053,48.0,71.167,20.125,74.0,25.0,100.0,,,,,,,4.0,37.25,37.223,20.0,16.0,93.0,12.0,44.833,20.936,46.0,10.0,80.0,,,,,,,1.0,32.0,,32.0,32.0,32.0,1.0,33.0,, 33.0 ,33.0,33.0,16.0,62.313,22.129,61.5,26.0,100.0,3.0,27.667,25.384,20.0,7.0,56.0,33.702,6.033,32.0,57,24,50,0.018,4.193,1.288,4.0,57.0,1,7,4.14,0.99,4.0,57,1,6,Men
13437-13437,13437,13437,53,0.067,Black,0.981,0.0,0.019,0.038,0.0,0.038,0.0,0.019,0.038,52.0,84.327,17.887,89.5,21.0,100.0,,,,,,,1.0,82.0,,82.0,82.0,82.0,2.0,23.0,4.243,23.0,20.0,26.0,,,,,,,2.0,70.0,28.284,70.0,50.0,90.0,,,, NA ,,,1.0,50.0,,50.0,50.0,50.0,2.0,19.5,10.607,19.5,12.0,27.0,27.358,5.103,26.0,53,18,45,0.0,4.83,1.528,5.0,53.0,1,7,5.472,0.775,5.0,53,3,7,Men
14792-533,14792,533,53,0.067,Black,0.943,0.0,0.019,0.019,0.0,0.0,0.0,0.094,0.019,50.0,88.4,14.732,93.0,33.0,100.0,,,,,,,1.0,95.0,,95.0,95.0,95.0,1.0,33.0,,33.0,33.0,33.0,,,,,,,,,,,,,,,, NA ,,,5.0,46.6,34.689,33.0,18.0,99.0,1.0,10.0,,10.0,10.0,10.0,37.057,6.353,36.0,53,26,55,0.0,4.264,1.483,4.0,53.0,1,7,4.755,1.125,5.0,53,2,7,Men
15761-3876,15761,3876,55,0.118,Black,0.764,0.0,0.164,0.091,0.0,0.036,0.0,0.036,0.145,42.0,79.333,20.314,80.5,15.0,100.0,,,,,,,9.0,67.0,28.901,68.0,10.0,100.0,5.0,48.2,24.733,45.0,21.0,80.0,,,,,,,2.0,55.0,7.071,55.0,50.0,60.0,,,, NA ,,,2.0,58.0,28.284,58.0,38.0,78.0,8.0,28.875,10.789,25.0,17.0,50.0,31.873,4.781,32.0,55,24,46,0.0,5.018,1.65,5.0,55.0,1,7,5.764,1.122,6.0,55,2,7,Men
785-32,785,32,54,0.188,White,0.037,0.019,0.0,0.019,0.019,0.019,0.0,0.0,0.926,2.0,63.0,4.243,63.0,60.0,66.0,1.0,87.0,,87.0,87.0,87.0,,,,,,,1.0,36.0,,36.0,36.0,36.0,1.0,58.0,,58.0,58.0,58.0,1.0,96.0,,96.0,96.0,96.0,,,, NA ,,,,,,,,,50.0,89.98,14.057,96.0,40.0,100.0,33.833,5.762,35.0,54,22,50,0.0,4.0,1.441,4.0,54.0,1,7,6.241,0.823,6.0,54,4,7,Men
1407-3389,1407,3389,52,0.0,White,0.0,0.0,0.0,0.019,0.0,0.019,0.0,0.0,0.981,,,,,,,,,,,,,,,,,,,1.0,50.0,,50.0,50.0,50.0,,,,,,,1.0,19.0,,19.0,19.0,19.0,,,, NA ,,,,,,,,,51.0,91.196,12.881,95.0,50.0,100.0,34.731,6.212,35.0,52,22,50,0.0,3.942,1.243,4.0,52.0,1,6,3.269,1.223,3.0,52,1,6,Men
1506-288,1506,288,51,0.333,White,0.235,0.0,0.039,0.0,0.0,0.02,0.0,0.0,0.941,12.0,28.75,21.747,25.0,0.0,67.0,,,,,,,2.0,49.5,14.849,49.5,39.0,60.0,,,,,,,,,,,,,1.0,85.0,,85.0,85.0,85.0,,,, NA ,,,,,,,,,48.0,85.208,18.583,92.0,28.0,100.0,19.059,3.749,19.0,51,12,32,0.02,4.529,1.347,5.0,51.0,1,7,6.078,0.997,6.0,51,2,7,Men
2079-44,2079,44,52,0.235,White,0.192,0.058,0.25,0.058,0.058,0.135,0.0,0.038,0.75,10.0,30.0,12.22,29.5,12.0,50.0,3.0,55.333,24.44,50.0,34.0,82.0,13.0,45.615,29.655,43.0,4.0,100.0,3.0,41.0,20.664,35.0,24.0,64.0,3.0,56.0,12.0,56.0,44.0,68.0,7.0,41.0,17.626,35.0,18.0,64.0,,,, NA ,,,2.0,82.5,2.121,82.5,81.0,84.0,39.0,69.128,18.665,70.0,39.0,100.0,31.596,5.849,32.5,52,20,45,0.038,4.442,1.195,4.0,52.0,1,7,4.442,0.958,5.0,52,2,7,Men
2308-706,2308,706,50,0.429,White,0.06,0.1,0.28,0.0,0.1,0.12,0.16,0.02,0.74,3.0,17.333,8.083,16.0,10.0,26.0,5.0,39.0,11.958,40.0,24.0,51.0,14.0,47.714,16.107,50.5,20.0,74.0,,,,,,,5.0,57.8,10.257,51.0,50.0,70.0,6.0,41.0,22.325,38.5,14.0,73.0,8.0,50.875,17.828, 52.0 ,25.0,75.0,1.0,100.0,,100.0,100.0,100.0,37.0,58.946,22.308,58.0,5.0,98.0,28.14,4.563,28.0,50,15,39,0.0,3.86,1.443,4.0,50.0,1,6,3.22,1.148,3.0,50,1,5,Men
2491-27,2491,27,50,0.067,White,0.02,0.0,0.06,0.02,0.02,0.0,0.0,0.0,0.96,1.0,33.0,,33.0,33.0,33.0,,,,,,,3.0,37.333,22.502,37.0,15.0,60.0,1.0,53.0,,53.0,53.0,53.0,1.0,70.0,,70.0,70.0,70.0,,,,,,,,,, NA ,,,,,,,,,48.0,88.292,13.533,91.5,40.0,100.0,28.36,4.304,28.0,50,17,38,0.0,4.7,0.995,5.0,50.0,3,7,5.1,0.886,5.0,50,3,7,Men
2741-30,2741,30,53,0.353,White,0.019,0.0,0.019,0.0,0.0,0.0,0.0,0.019,0.981,1.0,36.0,,36.0,36.0,36.0,,,,,,,1.0,21.0,,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,, NA ,,,1.0,15.0,,15.0,15.0,15.0,52.0,91.885,11.57,96.5,51.0,100.0,26.717,5.116,26.0,53,18,41,0.019,4.472,1.339,5.0,53.0,1,7,4.415,1.1,5.0,53,1,6,Men
4130-2784,4130,2784,53,0.0,White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, NA ,,,1.0,35.0,,35.0,35.0,35.0,53.0,91.679,9.837,95.0,65.0,100.0,28.189,3.606,28.0,53,21,40,0.0,4.868,0.941,5.0,53.0,2,7,4.717,1.116,5.0,53,1,7,Men
6600-27,6600,27,54,0.067,White,0.278,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.963,15.0,32.533,18.33,35.0,9.0,61.0,,,,,,,6.0,60.0,30.166,65.0,20.0,100.0,,,,,,,,,,,,,,,,,,,,,, NA ,,,,,,,,,52.0,75.981,19.113,80.0,16.0,100.0,24.278,5.243,24.0,54,17,45,0.074,4.389,1.338,4.0,54.0,1,7,5.185,1.183,5.0,54,3,7,Men
7352-1188,7352,1188,50,0.357,White,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,30.0,,30.0,30.0,30.0,,,,,,,1.0,13.0,,13.0,13.0,13.0,,,,,,,,,, NA ,,,,,,,,,50.0,93.56,9.201,99.0,65.0,100.0,34.72,5.643,35.0,50,25,45,0.0,3.8,1.178,4.0,50.0,1,6,4.56,1.013,5.0,50,1,7,Men
9310-27,9310,27,53,0.176,White,0.019,0.075,0.075,0.019,0.038,0.019,0.038,0.0,0.925,1.0,33.0,,33.0,33.0,33.0,4.0,59.0,11.86,55.5,50.0,75.0,4.0,42.25,19.103,44.0,20.0,61.0,1.0,46.0,,46.0,46.0,46.0,2.0,51.0,29.698,51.0,30.0,72.0,1.0,91.0,,91.0,91.0,91.0,2.0,39.5,0.707, 39.5 ,39.0,40.0,,,,,,,49.0,74.755,19.489,80.0,26.0,100.0,37.226,5.928,35.0,53,26,55,0.0,3.943,1.277,4.0,53.0,1,7,4.585,0.929,5.0,53,2,7,Men
12755-32,12755,32,54,0.125,White,0.0,0.0,0.056,0.037,0.037,0.0,0.0,0.0,0.944,,,,,,,,,,,,,3.0,60.0,44.441,75.0,10.0,95.0,2.0,45.0,7.071,45.0,40.0,50.0,2.0,51.5,0.707,51.5,51.0,52.0,,,,,,,,,, NA ,,,,,,,,,51.0,89.392,15.443,93.0,37.0,100.0,30.389,5.218,30.0,54,21,45,0.0,4.389,1.14,4.5,54.0,1,7,4.222,0.925,4.0,54,1,6,Men
13437-27,13437,27,50,0.267,White,0.12,0.0,0.12,0.0,0.04,0.0,0.0,0.0,0.94,6.0,40.167,15.728,45.0,12.0,54.0,,,,,,,6.0,50.0,25.243,57.5,11.0,78.0,,,,,,,2.0,87.0,12.728,87.0,78.0,96.0,,,,,,,,,, NA ,,,,,,,,,47.0,80.681,16.781,86.0,48.0,100.0,26.56,3.85,25.5,50,18,35,0.0,4.78,1.183,5.0,50.0,1,7,5.66,0.798,6.0,50,4,7,Men
