full_ID,set,manipulation,face_n,artificial,race_guess,race_ba,race_ea,race_hl,race_me,race_na,race_pi,race_se,race_sa,race_wc,prot_ba_n,prot_ba_m,prot_ba_sd,prot_ba_mdn,prot_ba_min,prot_ba_max,prot_ea_n,prot_ea_m,prot_ea_sd,prot_ea_mdn,prot_ea_min,prot_ea_max,prot_hl_n,prot_hl_m,prot_hl_sd,prot_hl_mdn,prot_hl_min,prot_hl_max,prot_me_n,prot_me_m,prot_me_sd,prot_me_mdn,prot_me_min,prot_me_max,prot_na_n,prot_na_m,prot_na_sd,prot_na_mdn,prot_na_min,prot_na_max,prot_pi_n,prot_pi_m,prot_pi_sd,prot_pi_mdn,prot_pi_min,prot_pi_max,prot_se_n,prot_se_m,prot_se_sd, prot_se_mdn ,prot_se_min,prot_se_max,prot_sa_n,prot_sa_m,prot_sa_sd,prot_sa_mdn,prot_sa_min,prot_sa_max,prot_wc_n,prot_wc_m,prot_wc_sd,prot_wc_mdn,prot_wc_min,prot_wc_max,age_m,age_sd,age_mdn,age_n,age_min,age_max,gender_fem,attract_m,attract_sd,attract_mdn,attract_n,attract_min,attract_max,happy_m,happy_sd,happy_mdn,happy_n,happy_min,happy_max,gender
14792-3928,14792,3928,53,0.063,White,0.057,0.0,0.358,0.113,0.0,0.057,0.0,0.038,0.66,3.0,29.0,18.52,22.0,15.0,50.0,,,,,,,19.0,60.947,21.262,66.0,21.0,89.0,6.0,48.333,24.549,47.0,17.0,88.0,,,,,,,3.0,50.0,23.516,51.0,26.0,73.0,,,, NA ,,,2.0,38.5,40.305,38.5,10.0,67.0,35.0,66.771,21.324,70.0,22.0,100.0,33.302,5.202,32.0,53,23,45,0.0,4.0,1.373,4.0,53.0,1,7,4.623,1.13,5.0,53,2,7,Men
15761-3389,15761,3389,51,0.2,White,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,92.0,,92.0,92.0,92.0,,,,,,,,,, NA ,,,,,,,,,51.0,94.961,7.93,100.0,66.0,100.0,32.02,5.058,32.0,51,19,45,0.0,4.647,1.11,5.0,51.0,3,7,5.647,0.844,6.0,51,3,7,Men
1304-3876,1304,3876,53,0.059,Black,0.83,0.019,0.038,0.019,0.038,0.151,0.075,0.057,0.057,44.0,75.977,19.266,80.0,30.0,100.0,1.0,39.0,,39.0,39.0,39.0,2.0,44.5,6.364,44.5,40.0,49.0,1.0,64.0,,64.0,64.0,64.0,2.0,68.5,20.506,68.5,54.0,83.0,8.0,58.125,22.061,59.5,16.0,85.0,4.0,41.25,20.156, 35.0 ,25.0,70.0,3.0,60.0,34.044,53.0,30.0,97.0,3.0,39.0,20.809,50.0,15.0,52.0,29.925,4.98,30.0,53,21,41,1.0,5.83,1.156,6.0,53.0,2,7,5.642,0.879,6.0,53,4,7,Women
1365-533,1365,533,51,0.0,Black,0.98,0.0,0.098,0.0,0.0,0.059,0.0,0.039,0.039,50.0,85.12,16.259,91.0,34.0,100.0,,,,,,,5.0,52.8,17.964,50.0,30.0,75.0,,,,,,,,,,,,,3.0,59.0,14.731,67.0,42.0,68.0,,,, NA ,,,2.0,68.0,24.042,68.0,51.0,85.0,2.0,40.5,0.707,40.5,40.0,41.0,36.529,6.018,36.0,51,25,48,1.0,5.471,1.239,6.0,51.0,2,7,6.431,0.855,7.0,51,4,7,Women
2617-533,2617,533,55,0.118,Black,0.927,0.0,0.018,0.018,0.036,0.145,0.0,0.018,0.0,51.0,85.333,15.123,90.0,29.0,100.0,,,,,,,1.0,23.0,,23.0,23.0,23.0,1.0,51.0,,51.0,51.0,51.0,2.0,54.5,2.121,54.5,53.0,56.0,8.0,54.25,23.819,53.5,18.0,83.0,,,, NA ,,,1.0,18.0,,18.0,18.0,18.0,,,,,,,34.073,5.033,34.0,55,21,46,1.0,4.964,1.247,5.0,55.0,2,7,3.727,1.062,4.0,55,1,6,Women
4866-2157,4866,2157,50,0.071,Black,0.88,0.0,0.0,0.04,0.02,0.08,0.0,0.18,0.04,44.0,81.932,16.257,86.5,31.0,100.0,,,,,,,,,,,,,2.0,46.5,13.435,46.5,37.0,56.0,1.0,20.0,,20.0,20.0,20.0,4.0,48.5,17.292,46.5,30.0,71.0,,,, NA ,,,9.0,48.778,31.913,39.0,10.0,100.0,2.0,17.5,3.536,17.5,15.0,20.0,38.86,6.354,40.0,50,25,52,0.98,4.72,1.325,5.0,50.0,1,7,5.74,0.853,6.0,50,4,7,Women
9848-533,9848,533,51,0.0,Black,0.941,0.0,0.02,0.0,0.02,0.059,0.0,0.0,0.059,48.0,88.208,13.927,90.5,40.0,100.0,,,,,,,1.0,92.0,,92.0,92.0,92.0,,,,,,,1.0,10.0,,10.0,10.0,10.0,3.0,47.667,28.006,32.0,31.0,80.0,,,, NA ,,,,,,,,,3.0,26.667,28.868,10.0,10.0,60.0,34.843,6.319,35.0,51,23,54,1.0,4.843,1.405,5.0,51.0,1,7,5.471,0.88,6.0,51,3,7,Women
10571-1407,10571,1407,50,0.133,Black,0.86,0.0,0.14,0.0,0.0,0.0,0.02,0.18,0.0,43.0,79.628,21.029,82.0,5.0,100.0,,,,,,,7.0,49.857,24.782,50.0,18.0,83.0,,,,,,,,,,,,,,,,,,,1.0,70.0,, 70.0 ,70.0,70.0,9.0,61.111,20.655,62.0,18.0,87.0,,,,,,,41.96,6.731,44.0,50,25,55,1.0,4.78,1.375,5.0,50.0,1,7,6.32,0.683,6.0,50,5,7,Women
12360-533,12360,533,54,0.167,Black,0.778,0.056,0.056,0.056,0.019,0.111,0.056,0.185,0.056,42.0,76.571,20.053,80.0,21.0,100.0,3.0,44.667,8.386,49.0,35.0,50.0,3.0,38.333,19.502,38.0,19.0,58.0,3.0,70.667,11.59,69.0,60.0,83.0,1.0,60.0,,60.0,60.0,60.0,6.0,59.0,21.42,67.0,20.0,80.0,3.0,45.0,21.794, 55.0 ,20.0,60.0,10.0,61.7,20.15,61.0,30.0,90.0,3.0,29.333,17.926,20.0,18.0,50.0,31.093,5.085,31.0,54,21,44,0.963,5.611,1.22,6.0,54.0,3,7,5.204,0.939,5.0,54,3,7,Women
13119-533,13119,533,52,0.375,Black,0.654,0.115,0.038,0.058,0.038,0.212,0.096,0.173,0.019,34.0,69.647,21.892,71.5,11.0,100.0,6.0,53.0,23.791,50.0,15.0,87.0,2.0,50.0,0.0,50.0,50.0,50.0,3.0,68.0,15.716,65.0,54.0,85.0,2.0,64.0,33.941,64.0,40.0,88.0,11.0,55.273,19.401,53.0,24.0,95.0,5.0,46.4,15.372, 47.0 ,26.0,68.0,9.0,59.556,16.18,60.0,30.0,81.0,1.0,48.0,,48.0,48.0,48.0,27.827,4.506,27.0,52,20,40,1.0,5.75,0.926,6.0,52.0,4,7,5.173,0.901,5.0,52,3,7,Women
13372-533,13372,533,55,0.118,Black,0.618,0.0,0.236,0.2,0.036,0.091,0.0,0.273,0.036,34.0,59.324,22.982,53.5,15.0,100.0,,,,,,,13.0,49.308,20.806,50.0,20.0,88.0,11.0,57.182,25.019,52.0,24.0,100.0,2.0,67.5,19.092,67.5,54.0,81.0,5.0,58.0,23.249,51.0,34.0,85.0,,,, NA ,,,15.0,65.533,16.932,67.0,29.0,90.0,2.0,21.5,2.121,21.5,20.0,23.0,39.218,5.587,38.0,55,25,50,1.0,4.855,1.407,5.0,55.0,1,7,4.255,0.985,4.0,55,1,6,Women
13553-28,13553,28,50,0.067,Black,0.88,0.0,0.14,0.02,0.02,0.04,0.02,0.02,0.28,44.0,73.25,19.119,76.0,34.0,100.0,,,,,,,7.0,56.286,15.924,60.0,27.0,80.0,1.0,35.0,,35.0,35.0,35.0,1.0,55.0,,55.0,55.0,55.0,2.0,38.5,12.021,38.5,30.0,47.0,1.0,30.0,, 30.0 ,30.0,30.0,1.0,15.0,,15.0,15.0,15.0,14.0,33.571,26.613,27.5,1.0,74.0,36.6,5.525,36.5,50,27,50,1.0,5.4,1.01,5.5,50.0,3,7,5.24,1.001,5.0,50,3,7,Women
16252-3876,16252,3876,55,0.0,Black,0.6,0.0,0.055,0.055,0.091,0.2,0.036,0.236,0.036,33.0,69.0,27.383,75.0,6.0,100.0,,,,,,,3.0,77.333,28.361,89.0,45.0,98.0,3.0,51.333,2.309,50.0,50.0,54.0,5.0,45.4,18.555,49.0,19.0,64.0,11.0,66.818,17.736,71.0,30.0,92.0,2.0,38.0,9.899, 38.0 ,31.0,45.0,13.0,75.692,18.181,81.0,46.0,100.0,2.0,32.5,3.536,32.5,30.0,35.0,29.8,4.889,29.0,55,20,46,1.0,5.345,1.075,5.0,55.0,3,7,5.382,0.991,5.0,55,3,7,Women
16958-533,16958,533,50,0.2,Black,0.62,0.0,0.02,0.04,0.02,0.2,0.08,0.26,0.12,31.0,76.0,22.465,81.0,10.0,100.0,,,,,,,1.0,50.0,,50.0,50.0,50.0,2.0,62.5,3.536,62.5,60.0,65.0,1.0,70.0,,70.0,70.0,70.0,10.0,73.4,16.959,74.0,44.0,98.0,4.0,47.25,31.256, 42.0 ,15.0,90.0,13.0,68.077,19.024,70.0,38.0,100.0,6.0,28.0,4.817,27.5,22.0,35.0,29.04,4.37,29.0,50,20,42,1.0,5.82,0.983,6.0,50.0,3,7,6.48,0.789,7.0,50,4,7,Women
17235-3876,17235,3876,53,0.063,Black,0.623,0.038,0.151,0.038,0.094,0.094,0.151,0.113,0.113,33.0,70.758,22.601,79.0,24.0,100.0,2.0,19.5,0.707,19.5,19.0,20.0,8.0,47.125,12.889,50.0,27.0,62.0,2.0,33.5,20.506,33.5,19.0,48.0,5.0,67.2,29.167,77.0,25.0,100.0,5.0,55.8,23.124,69.0,19.0,74.0,8.0,55.5,14.482, 57.0 ,30.0,73.0,6.0,56.667,31.557,53.0,26.0,100.0,6.0,40.667,21.106,45.0,15.0,63.0,35.698,5.76,35.0,53,24,55,0.981,4.868,1.194,5.0,53.0,2,7,5.698,0.845,6.0,53,3,7,Women
17284-3876,17284,3876,54,0.294,Black,0.63,0.019,0.241,0.074,0.093,0.148,0.056,0.278,0.167,34.0,54.706,20.478,56.5,10.0,100.0,1.0,58.0,,58.0,58.0,58.0,13.0,61.231,18.7,65.0,27.0,81.0,4.0,65.5,14.295,66.0,50.0,80.0,5.0,59.6,16.846,65.0,35.0,78.0,8.0,57.125,27.195,55.5,20.0,100.0,3.0,38.333,2.887, 40.0 ,35.0,40.0,15.0,57.067,20.247,50.0,30.0,90.0,9.0,29.667,17.79,22.0,5.0,57.0,35.241,5.411,35.0,54,24,49,1.0,5.019,1.236,5.0,54.0,1,7,3.852,0.899,4.0,54,2,6,Women
19933-3876,19933,3876,50,0.25,Black,0.56,0.0,0.22,0.12,0.04,0.1,0.02,0.18,0.18,28.0,67.143,21.032,67.0,19.0,100.0,,,,,,,11.0,76.091,25.046,85.0,24.0,100.0,6.0,49.167,28.646,47.5,11.0,88.0,2.0,17.0,9.899,17.0,10.0,24.0,5.0,70.4,22.634,70.0,43.0,100.0,1.0,42.0,, 42.0 ,42.0,42.0,9.0,74.0,20.736,80.0,41.0,100.0,9.0,37.222,15.99,42.0,10.0,57.0,32.56,4.473,32.0,50,20,42,1.0,5.24,1.271,5.0,50.0,1,7,5.64,1.083,6.0,50,3,7,Women
1304-44,1304,44,55,0.25,White,0.018,0.0,0.018,0.018,0.0,0.0,0.0,0.0,0.982,1.0,25.0,,25.0,25.0,25.0,,,,,,,1.0,50.0,,50.0,50.0,50.0,1.0,20.0,,20.0,20.0,20.0,,,,,,,,,,,,,,,, NA ,,,,,,,,,54.0,92.37,8.753,94.0,62.0,100.0,25.709,3.436,25.0,55,19,36,1.0,5.836,1.032,6.0,55.0,3,7,5.6,0.894,6.0,55,3,7,Women
1365-27,1365,27,53,0.125,White,0.0,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.981,,,,,,,1.0,65.0,,65.0,65.0,65.0,1.0,36.0,,36.0,36.0,36.0,1.0,40.0,,40.0,40.0,40.0,,,,,,,,,,,,,,,, NA ,,,,,,,,,52.0,90.5,15.871,99.0,31.0,100.0,33.34,4.715,33.0,53,25,45,0.981,5.151,1.262,5.0,53.0,1,7,6.264,0.923,6.0,53,3,7,Women
2617-1045,2617,1045,56,0.056,White,0.054,0.0,0.321,0.089,0.036,0.018,0.0,0.0,0.732,3.0,53.333,40.415,60.0,10.0,90.0,,,,,,,18.0,57.722,23.522,59.5,15.0,98.0,5.0,56.2,29.491,65.0,5.0,80.0,2.0,61.0,43.841,61.0,30.0,92.0,1.0,55.0,,55.0,55.0,55.0,,,, NA ,,,,,,,,,41.0,75.732,19.518,80.0,15.0,100.0,33.75,5.495,33.5,56,22,50,1.0,5.196,1.313,6.0,56.0,1,7,4.214,1.331,4.0,56,1,7,Women
4866-1288,4866,1288,54,0.412,White,0.037,0.0,0.315,0.056,0.019,0.0,0.0,0.0,0.778,2.0,63.5,44.548,63.5,32.0,95.0,,,,,,,17.0,56.059,21.052,55.0,23.0,100.0,3.0,84.667,7.572,88.0,76.0,90.0,1.0,55.0,,55.0,55.0,55.0,,,,,,,,,, NA ,,,,,,,,,42.0,79.333,17.559,83.0,40.0,100.0,42.222,5.414,42.0,54,28,55,1.0,4.296,1.176,4.0,54.0,1,7,5.685,0.886,6.0,54,4,7,Women
9848-44,9848,44,54,0.294,White,0.185,0.0,0.093,0.019,0.0,0.0,0.0,0.0,0.963,10.0,38.0,14.795,45.0,11.0,52.0,,,,,,,5.0,43.2,20.03,40.0,24.0,74.0,1.0,60.0,,60.0,60.0,60.0,,,,,,,,,,,,,,,, NA ,,,,,,,,,52.0,77.481,19.531,81.0,29.0,100.0,27.852,5.156,28.0,54,16,40,0.944,4.426,1.34,5.0,54.0,1,7,5.667,0.911,6.0,54,3,7,Women
10571-68,10571,68,50,0.188,White,0.12,0.0,0.24,0.1,0.04,0.02,0.0,0.02,0.8,6.0,44.833,18.999,47.0,15.0,70.0,,,,,,,12.0,49.417,13.983,48.5,25.0,71.0,5.0,35.8,17.427,32.0,15.0,57.0,2.0,40.5,13.435,40.5,31.0,50.0,1.0,29.0,,29.0,29.0,29.0,,,, NA ,,,1.0,71.0,,71.0,71.0,71.0,40.0,75.65,17.747,78.0,36.0,100.0,44.16,6.962,45.0,50,27,63,1.0,3.92,1.226,4.0,50.0,1,6,5.96,0.781,6.0,50,4,7,Women
12360-1892,12360,1892,53,0.294,White,0.0,0.0,0.019,0.0,0.038,0.019,0.0,0.0,0.981,,,,,,,,,,,,,1.0,29.0,,29.0,29.0,29.0,,,,,,,2.0,71.0,26.87,71.0,52.0,90.0,1.0,20.0,,20.0,20.0,20.0,,,, NA ,,,,,,,,,52.0,92.808,8.992,95.0,61.0,100.0,25.887,4.264,25.0,53,18,38,0.981,5.755,1.175,6.0,53.0,1,7,4.698,1.249,5.0,53,1,7,Women
13119-1003,13119,1003,53,0.25,White,0.0,0.019,0.17,0.057,0.0,0.038,0.019,0.019,0.83,,,,,,,1.0,20.0,,20.0,20.0,20.0,9.0,45.556,23.49,42.0,20.0,84.0,3.0,61.333,19.425,66.0,40.0,78.0,,,,,,,2.0,58.0,11.314,58.0,50.0,66.0,1.0,30.0,, 30.0 ,30.0,30.0,1.0,49.0,,49.0,49.0,49.0,44.0,84.886,18.893,89.5,15.0,100.0,26.679,3.474,27.0,53,20,40,1.0,6.189,0.921,6.0,53.0,3,7,5.264,1.022,5.0,53,3,7,Women
13372-49,13372,49,51,0.0,White,0.0,0.0,0.098,0.118,0.02,0.02,0.0,0.02,0.922,,,,,,,,,,,,,5.0,47.4,29.585,30.0,23.0,84.0,6.0,50.333,27.933,50.0,6.0,85.0,1.0,81.0,,81.0,81.0,81.0,1.0,50.0,,50.0,50.0,50.0,,,, NA ,,,1.0,50.0,,50.0,50.0,50.0,47.0,81.66,15.332,87.0,51.0,100.0,37.314,5.673,36.0,51,23,50,1.0,5.255,0.977,5.0,51.0,3,7,4.49,1.007,5.0,51,2,6,Women
13553-1188,13553,1188,52,0.2,White,0.231,0.0,0.135,0.0,0.0,0.019,0.0,0.0,0.923,12.0,28.667,17.448,29.0,3.0,71.0,,,,,,,7.0,49.429,18.247,51.0,19.0,70.0,,,,,,,,,,,,,1.0,90.0,,90.0,90.0,90.0,,,, NA ,,,,,,,,,48.0,77.563,21.163,81.5,11.0,100.0,29.962,5.502,30.0,52,19,44,0.981,4.654,1.385,5.0,52.0,1,7,5.212,1.126,5.0,52,3,7,Women
16252-44,16252,44,54,0.167,White,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,2.0,17.0,2.828,17.0,15.0,19.0,,,,,,,,,,,,,,,,,,,,,, NA ,,,,,,,,,54.0,94.833,7.21,99.0,75.0,100.0,25.926,3.942,25.5,54,19,35,1.0,5.333,1.082,5.0,54.0,3,7,5.593,0.836,6.0,54,4,7,Women
16958-3928,16958,3928,55,0.176,White,0.0,0.0,0.091,0.0,0.018,0.0,0.0,0.0,0.964,,,,,,,,,,,,,5.0,40.2,27.905,34.0,15.0,83.0,,,,,,,1.0,28.0,,28.0,28.0,28.0,,,,,,,,,, NA ,,,,,,,,,53.0,91.019,10.33,93.0,60.0,100.0,24.727,2.718,25.0,55,15,30,0.982,5.964,1.036,6.0,55.0,1,7,6.491,0.605,7.0,55,5,7,Women
17235-3820,17235,3820,53,0.188,White,0.019,0.226,0.208,0.0,0.057,0.075,0.038,0.019,0.774,1.0,72.0,,72.0,72.0,72.0,12.0,48.5,24.344,60.0,10.0,82.0,11.0,57.909,25.975,56.0,18.0,92.0,,,,,,,3.0,26.333,15.177,29.0,10.0,40.0,4.0,62.0,18.833,61.0,40.0,86.0,2.0,44.5,21.92, 44.5 ,29.0,60.0,1.0,77.0,,77.0,77.0,77.0,41.0,70.439,24.884,75.0,0.0,100.0,35.34,5.657,35.0,53,20,50,1.0,4.906,1.097,5.0,53.0,3,7,5.642,0.942,6.0,53,4,7,Women
17284-27,17284,27,53,0.0,White,0.0,0.0,0.0,0.019,0.0,0.019,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,1.0,20.0,,20.0,20.0,20.0,,,,,,,1.0,80.0,,80.0,80.0,80.0,,,, NA ,,,,,,,,,53.0,90.434,14.019,95.0,20.0,100.0,32.811,5.133,32.0,53,20,45,0.981,5.491,0.953,6.0,53.0,4,7,4.396,1.149,4.0,53,1,7,Women
19933-30,19933,30,52,0.176,White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, NA ,,,,,,,,,52.0,97.019,5.392,100.0,77.0,100.0,27.885,4.545,27.0,52,19,42,0.981,5.25,1.186,5.0,52.0,1,7,5.962,0.907,6.0,52,3,7,Women
